Ticker,Last Price,Last Price (1 Week),Last Price (1 Year),Last Price,Mkt Cap,Revenue,PM,Ind Group,Ind Sector,BEst EPS,52W High,52W Low,Dividend Per Share Ind Annual - Net,Dvd P/O,Ticker,ROE,BEst NAV,Beta,SA ESG Risk Score,SA ESG Risk Percentile Universe,StandrdAndPoor Glbl ESG Rnk,ESG Disc Score,Env Disc Sc,Gov Disc Sc,Soc Disc Sc,MSCI ESG Rating,ESG Scr,Number of Employees,Volatil 30D,Volatil 60D,Volatility 180 Day,Volatil 360D,Tot Assets,Net Debt,Total Liab,Debt/MC
Americas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500 INDEX,4554.97,4554.97,4554.97,4554.97,3.95391E+13,#N/A N/A,10.43780792,#N/A Field Not Applicable,#N/A Field Not Applicable,216.5417745,4607.07,3764.49,#N/A N/A,37.05466981,SPX,17.79642541,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,N.S.,#N/A Field Not Applicable,27992742,14.89494,13.41868,12.79857,17.98788,5105.194714,#N/A N/A,3978.011632,#N/A N/A
AGILENT TECH INC,124.47,124.47,124.47,124.47,36343052413,6833,18.14722669,Healthcare-Products,"Consumer, Non-cyclical",1.236,160.08,97.12,0.944,21.59951613,A,22.24215247,6050.625,1.057450771,13.63914063,8.08,96,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,7.05,18100,38.63102522,32.05189172,27.91094091,30.49204801,10763,1145,4918,0.075255099
AMERICAN AIRLINE,12.265,12.265,12.265,12.265,8009139440,48971,0.259337159,Airlines,"Consumer, Cyclical",0.038,19.075,10.865,#N/A Field Not Applicable,0,AAL,#N/A N/A,-4897.143,1.300619364,26.35020469,55.01,91,64.42007846,65.81093325,93.73871162,33.58524788,N.S.,5.24,129700,36.15659638,33.95523842,34.96719613,40.99706263,64716,34722,70515,5.144747486
APPLE INC,191.33,191.33,191.33,191.33,2.97602E+12,383285,25.30623426,Computers,Technology,2.1,198.22,124.18,0.96,15.25808252,AAPL,171.9495116,72229.2,1.154802799,17.21751375,17.95,76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,5.75,161000,18.24292449,19.93537998,19.67739627,27.56996282,352583,-38169,290437,0.041642878
ABBVIE INC,138.63,138.63,138.63,138.63,2.44562E+11,58054,20.3879147,Pharmaceuticals,"Consumer, Non-cyclical",2.9,168.1,130.97,6.2,85.82931591,ABBV,46.06949587,14901.143,0.637518287,26.90650031,57.05,100,67.52841766,52.61250378,97.50150512,52.35792019,BBB,4.86,50000,20.74289593,17.91401644,20.71798252,21.42004991,138805,54962,121518,0.248386665
AIRBNB INC-A,129,129,129,129,83629056469,8399,22.53839743,Internet,Communications,0.744,154.93,81.92,#N/A Field Not Applicable,0,ABNB,74.47247301,7882.333,1.473877549,22.84902375,39.77,56,37.33024847,6.765327696,91.24021674,13.78476421,BB,3.22,6811,43.04727665,40.36545898,40.11650515,48.36347349,16038,-7281,10478,0.027610021
ABBOTT LABS,102.77,102.77,102.77,102.77,1.78258E+11,43653,15.88206996,Healthcare-Products,"Consumer, Non-cyclical",1.189,115.83,89.68,2.04,48.54694937,ABT,14.11230794,38606.75,0.825982511,25.22476125,50.38,100,75.26405794,74.78103292,97.50150512,53.41596131,BBB,5.27,115000,19.27244713,22.02468645,20.82104497,22.74198591,74438,7568,37533,0.087109455
ARCH CAPITAL GRP,85.92,85.92,85.92,85.92,32033076669,9614.808,15.36102437,Insurance,Financial,1.93,90.64,57.35,#N/A Field Not Applicable,0,ACGL,23.08261452,16181.8,0.704402626,22.4592625,38.29,60,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,1.73,5800,31.32898865,25.70630584,27.05606172,27.51330473,47990.507,2022.182,35069.605,0.085099537
